Customer ID,fullName,e-mail,SignUpDate,vip
C067,JOSEPH PARKER, ihurst@example.org ,"December 18, 2024",Yes
C068,PAUL CARTER,ialvarado@example.net,2024-09-01,Yes
C069,Benjamin Fisher, jyang@example.net ,"January 26, 2025",no
C070,  Angela Wallace  ,dana80@example.com,2025-01-21,
C071,NICHOLAS FLORES,nathanfarley@example.org,07/08/2025,N
C072,Destiny Grant, lauragriffin@example.com ,"October 31, 2024",Yes
C073,  Christopher Chung  , sharon25@example.com ,2025/04/13,
C074,Paul Phillips,amontgomery@example.org,2024-12-12,N
C075,LORI GARDNER,rogerpotter@example.org,2025/04/30,yes
C076,Crystal Gill,crystal01@example.com,"July 14, 2025",Yes
C077,  David Fox  ,vwallace@example.com,01/01/2025,no
 C078 ,  MEGAN GONZALEZ  ,johnsonlaura@example.com,2025-03-08,yes
C079,SCOTT MACDONALD,carloscallahan@example.com,03/03/2025,N
C080,  Lori Schmidt  ,isosa@example.com,"May 23, 2025",Y
C081,Diana Ramos,ericterry@example.com,18/01/2025,
C082,  Justin Evans  ,nnewton@example.com,19/02/2025,no
C083,  KATHERINE MULLEN  ,vevans@example.com,,no
C084,  ALLISON RUIZ  ,mathistiffany@example.net,2025/07/08,yes
C085,NATALIE CALDWELL,warddarren@example.org,"August 25, 2025",yes
C086,Melissa Acosta,donaldberry@example.org,"October 02, 2024",N
C087,Gary Jackson,rwong@example.com,"October 18, 2024",Yes
C088,Brittany Stewart,reneewallace@example.com,2025/01/28,N
C089,Nicholas Pope MD,brendawilliams@example.com,2024-09-06,N
C090,Shelby Cox,jesseevans@example.org,10/05/2025,Y
C091,Diane Rich,robert08@example.net,2025/08/10,Yes
C092,TARA VILLA,thenry@example.com,2024-11-11,Yes
C093,ANDREW MARTIN,robertsadrian@example.org,2025/06/08,N
C094,TRACY SANDERS,shawnmorgan@example.org,2025-04-03,Yes
C095,  Francis Herrera  ,jonathan80@example.org,06/01/2025,Yes
C096,Joseph Lopez,johndaniel@example.com,2024-12-17,N
C097,Dawn Cooper,bradleyvilla@example.org,2024/08/28,Y
C098,  JEFFREY STARK MD  ,hstevens@example.org,2024/09/23,No
C099,Preston Gutierrez,scottjones@example.com,2025/03/17,yes
C100,Jennifer Haley, tracyanderson@example.com ,2025/08/02,Yes
